# Palier 16 — Efforts et caractère (rangs 751-800)
young | jeune | adj | /jʌŋ/ | She is too young to drive. | Elle est trop jeune pour conduire. | Having [lived=vécu] only a [small=petit] [number=nombre] of [years=années]
coin | pièce | n | /kɔɪn/ | I found a silver coin. | J'ai trouvé une pièce en argent. | A [small=petit] [round=rond] [piece=morceau] of [metal=métal] used as [money=monnaie]
drop | laisser tomber | v | /drɒp/ | Do not drop the glass. | Ne laisse pas tomber le verre. | To [let=laisser] a [thing=chose] [fall=tomber] from your [hand=main]
equal | égal | adj | /ˈiː.kwəl/ | The two parts are equal. | Les deux parties sont égales. | Of the [same=même] [size=taille], [amount=quantité] or [value=valeur]
gun | arme à feu | n | /ɡʌn/ | The soldier carried a gun. | Le soldat portait une arme. | A [metal=en métal] [object=objet] that a [soldier=soldat] [uses=utilise] to [kill=tuer]
join | rejoindre | v | /dʒɔɪn/ | She joined our club. | Elle a rejoint notre club. | To [become=devenir] a [member=membre] of a [group=groupe]
intelligent | intelligent | adj | /ɪnˈtel.ɪ.dʒənt/ | He is an intelligent boy. | C'est un garçon intelligent. | Able to [learn=apprendre] and [understand=comprendre] [things=les choses] [quickly=vite]
laugh | rire | v | /lɑːf/ | We laughed all evening. | Nous avons ri toute la soirée. | To [make=faire] a [happy=joyeux] [sound=son] because something is [funny=drôle]
middle | milieu | n | /ˈmɪd.əl/ | Stand in the middle. | Tiens-toi au milieu. | The [point=point] that is at the [same=même] [distance=distance] from [each=chaque] [side=côté]
perform | jouer | v | /pəˈfɔːm/ | They perform every Friday. | Ils jouent chaque vendredi. | To [act=jouer] or [sing=chanter] in [front=devant] of an [audience=public]
plain | simple | adj | /pleɪn/ | She wore a plain dress. | Elle portait une robe simple. | Without any [decoration=décoration], [simple=simple] and [clear=net]
row | rangée | n | /rəʊ/ | We sat in the first row. | Nous étions assis au premier rang. | A [line=ligne] of [people=personnes] or [things=choses] [side=côte] by [side=côte]
surface | surface | n | /ˈsɜː.fɪs/ | The surface is very smooth. | La surface est très lisse. | The [outer=extérieure] [part=partie] of a [thing=chose] that you can [touch=toucher]
soldier | soldat | n | /ˈsəʊl.dʒər/ | The soldier came home. | Le soldat est rentré chez lui. | A [member=membre] of an [army=armée] who [fights=combat] in a [war=guerre]
thick | épais | adj | /θɪk/ | The wall is very thick. | Le mur est très épais. | With a [large=grande] [distance=distance] between its [two=deux] [sides=faces]
until | jusqu'à | prep | /ənˈtɪl/ | Wait until tomorrow. | Attends jusqu'à demain. | Up to the [moment=moment] when a [thing=chose] [happens=arrive]
wild | sauvage | adj | /waɪld/ | We saw a wild animal. | Nous avons vu un animal sauvage. | [Living=Vivant] in [nature=la nature], never [controlled=contrôlé] by [people=les gens]
attempt | tentative | n | /əˈtempt/ | It was his second attempt. | C'était sa deuxième tentative. | An [effort=effort] to [do=faire] something [difficult=difficile] that may [fail=échouer]
breathe | respirer | v | /briːð/ | Breathe slowly, please. | Respire lentement, s'il te plaît. | To [take=prendre] the [air=air] into your [body=corps] and [push=pousser] it out
bill | facture | n | /bɪl/ | The bill was very high. | La facture était très élevée. | The [paper=papier] that [says=indique] how [much=combien] you must [pay=payer]
character | caractère | n | /ˈkær.ək.tər/ | She has a strong character. | Elle a un caractère fort. | The [set=ensemble] of [qualities=qualités] that [make=font] a [person=personne] [different=différente]
cook | cuisiner | v | /kʊk/ | I cook every evening. | Je cuisine chaque soir. | To [prepare=préparer] [food=de la nourriture] by [making=rendant] it [hot=chaude]
defend | défendre | v | /dɪˈfend/ | They defend their country. | Ils défendent leur pays. | To [protect=protéger] a [person=personne] or [place=lieu] against an [attack=attaque]
fat | gras | adj | /fæt/ | The meat is too fat. | La viande est trop grasse. | Having a [lot=beaucoup] of the [soft=molle] [material=matière] under the skin
grey | gris | adj | /ɡreɪ/ | The sky is grey. | Le ciel est gris. | The [colour=couleur] between [black=noir] and [white=blanc], like a [cloud=nuage]
hot | chaud | adj | /hɒt/ | The soup is very hot. | La soupe est très chaude. | At a [high=haute] [temperature=température], the [opposite=contraire] of [cold=froid]
