# Palier 1 — Les tout premiers mots (rangs 1-50)
# en | fr | type | phonetique | exemple_en | exemple_fr | indice
boy | garçon | n | /bɔɪ/ | The boy is running. | Le garçon court. | A young [male=mâle] [child=enfant] who will [become=devenir] a [man=homme]
ask | demander | v | /ɑːsk/ | Can I ask a question? | Puis-je poser une question ? | To [say=dire] something because you [want=veux] an [answer=réponse]
book | livre | n | /bʊk/ | This book is long. | Ce livre est long. | Many [pages=pages] [together=ensemble] that you [read=lis] for a [story=histoire]
child | enfant | n | /tʃaɪld/ | The child is playing. | L'enfant joue. | A [young=jeune] [person=personne] who is not [yet=encore] an [adult=adulte]
dog | chien | n | /dɒɡ/ | The dog is barking. | Le chien aboie. | An [animal=animal] with [four=quatre] legs that [barks=aboie] and [follows=suit] you
eye | œil | n | /aɪ/ | She closed her eyes. | Elle a fermé les yeux. | The [part=partie] of your [face=visage] that you [use=utilises] to [see=voir]
first | premier | adj | /fɜːst/ | This is my first day. | C'est mon premier jour. | The one that [comes=vient] [before=avant] all the [others=autres]
learn | apprendre | v | /lɜːn/ | I want to learn English. | Je veux apprendre l'anglais. | To [get=obtenir] [new=de nouvelles] [knowledge=connaissances] by [studying=étudiant] something
morning | matin | n | /ˈmɔː.nɪŋ/ | I run every morning. | Je cours tous les matins. | The [early=tôt] [part=partie] of the [day=jour], [before=avant] noon
open | ouvrir | v | /ˈəʊ.pən/ | Please open the window. | Ouvre la fenêtre, s'il te plaît. | To [move=bouger] a [door=porte] so that you can [pass=passer] [through=à travers]
play | jouer | v | /pleɪ/ | The children play outside. | Les enfants jouent dehors. | To do something for [fun=le plaisir], like [children=les enfants] with a [game=jeu]
question | question | n | /ˈkwes.tʃən/ | I have a question. | J'ai une question. | What you [ask=demandes] when you [want=veux] to [know=savoir] something
room | pièce | n | /ruːm/ | My room is small. | Ma chambre est petite. | A [space=espace] inside a [house=maison] with [walls=des murs] and a [door=porte]
say | dire | v | /seɪ/ | What did you say? | Qu'as-tu dit ? | To [speak=parler] [words=des mots] so that [others=les autres] [know=savent] your [idea=idée]
start | commencer | v | /stɑːt/ | We start at eight. | Nous commençons à huit heures. | To [begin=entamer] something that was not [happening=en train de se passer] [before=avant]
today | aujourd'hui | adv | /təˈdeɪ/ | I am busy today. | Je suis occupé aujourd'hui. | The [day=jour] that is [happening=en train de se passer] [now=maintenant]
word | mot | n | /wɜːd/ | I know this word. | Je connais ce mot. | A small [piece=morceau] of [language=langue] with its own [meaning=sens]
brother | frère | n | /ˈbrʌð.ər/ | My brother is older. | Mon frère est plus âgé. | A [boy=garçon] who has the [same=mêmes] [parents=parents] as you
chair | chaise | n | /tʃeər/ | Sit on the chair. | Assieds-toi sur la chaise. | A [seat=siège] with [four=quatre] legs where one [person=personne] can [sit=s'asseoir]
drink | boire | v | /drɪŋk/ | I drink water. | Je bois de l'eau. | To [take=prendre] [water=de l'eau] into your [mouth=bouche] when you are [thirsty=assoiffé]
easy | facile | adj | /ˈiː.zi/ | This exercise is easy. | Cet exercice est facile. | Something you can do without any [difficulty=difficulté] or [effort=effort]
father | père | n | /ˈfɑː.ðər/ | My father works here. | Mon père travaille ici. | The [male=mâle] [parent=parent] of a [child=enfant]
girl | fille | n | /ɡɜːl/ | The girl is singing. | La fille chante. | A [young=jeune] [female=femelle] [child=enfant] who will [become=devenir] a [woman=femme]
help | aider | v | /help/ | Can you help me? | Peux-tu m'aider ? | To do something for [someone=quelqu'un] so their [work=travail] is [easier=plus facile]
know | savoir | v | /nəʊ/ | I know the answer. | Je connais la réponse. | To have the [information=information] in your [head=tête] [already=déjà]
new | nouveau | adj | /njuː/ | I bought a new phone. | J'ai acheté un nouveau téléphone. | Something [made=fabriqué] or [bought=acheté] a [short=court] [time=temps] ago
please | s'il te plaît | adv | /pliːz/ | Please sit down. | Assieds-toi, s'il te plaît. | The [polite=poli] [word=mot] you [add=ajoutes] when you [ask=demandes] for something
paper | papier | n | /ˈpeɪ.pər/ | Give me a paper. | Donne-moi une feuille. | The [thin=fine] white [material=matière] you [write=écris] on
rich | riche | adj | /rɪtʃ/ | He is very rich. | Il est très riche. | Having a [lot=beaucoup] of [money=argent] and many [things=choses]
show | montrer | v | /ʃəʊ/ | Show me your book. | Montre-moi ton livre. | To let [someone=quelqu'un] [see=voir] something you have
son | fils | n | /sʌn/ | Their son is ten. | Leur fils a dix ans. | The [male=mâle] [child=enfant] of a [mother=mère] and a [father=père]
body | corps | n | /ˈbɒd.i/ | My body is tired. | Mon corps est fatigué. | All the [parts=parties] of a [person=personne] [together=ensemble], from [head=tête] to [foot=pied]
cry | pleurer | v | /kraɪ/ | The baby is crying. | Le bébé pleure. | To let [tears=des larmes] [fall=tomber] from your [eyes=yeux] when you are [sad=triste]
careful | prudent | adj | /ˈkeə.fəl/ | Be careful on the road. | Sois prudent sur la route. | [Paying=Faisant] [attention=attention] so that [nothing=rien] [bad=mauvais] [happens=arrive]
door | porte | n | /dɔːr/ | Close the door. | Ferme la porte. | What you [open=ouvres] to [enter=entrer] or [leave=quitter] a [room=pièce]
everything | tout | pron | /ˈev.ri.θɪŋ/ | Everything is ready. | Tout est prêt. | [All=Toutes] the [things=choses], with [nothing=rien] [left=laissé] out
face | visage | n | /feɪs/ | She has a kind face. | Elle a un visage gentil. | The [front=devant] of your [head=tête], with your [eyes=yeux] and your [mouth=bouche]
place | endroit | n | /pleɪs/ | This is a quiet place. | C'est un endroit calme. | A [particular=particulier] [point=point] or [area=zone] where something [is=est]
