# Palier de blocs 1 — les 50 plus courants de l'anglais parlé
# en | fr | litteral (null si transparent) | indice | exemple_en | exemple_fr
Let me know | Tiens-moi au courant | Laisse-moi savoir | You say this to [ask=demander] for the [answer=réponse] [later=plus tard] | Let me know when you arrive. | Tiens-moi au courant quand tu arrives.
Can you help me? | Peux-tu m'aider ? | null | You ask this when a [problem=problème] is too [difficult=difficile] [alone=seul] | Can you help me with this? | Peux-tu m'aider avec ça ?
How much is it? | Combien ça coûte ? | Combien beaucoup est-ce | You ask this in a [shop=magasin] to [know=connaître] the [price=prix] | How much is it for two? | Combien ça coûte pour deux ?
How long does it take? | Ça prend combien de temps ? | Combien long fait-il prendre | You ask this to [know=connaître] the [time=temps] a [thing=chose] [needs=demande] | How long does it take by car? | Ça prend combien de temps en voiture ?
What time is it? | Quelle heure est-il ? | Quel temps est-ce | You ask this to [know=connaître] the [hour=heure] of the [day=jour] | Excuse me, what time is it? | Excusez-moi, quelle heure est-il ?
I'm looking forward to it | J'ai hâte | Je regarde en avant vers ça | You say this when you [want=veux] a [thing=chose] to [come=arriver] and it makes you [happy=heureux] | The trip is in June. I'm looking forward to it. | Le voyage est en juin. J'ai hâte.
Do you mind if I | Ça te dérange si je | Fais-tu esprit si je | You put this before an [action=action] to [ask=demander] a [polite=polie] [permission=permission] | Do you mind if I open the window? | Ça te dérange si j'ouvre la fenêtre ?
I'd rather not | Je préfère pas | J'aimerais plutôt pas | You say this to [refuse=refuser] without [giving=donner] a [reason=raison] | Do you want to speak? I'd rather not. | Tu veux parler ? Je préfère pas.
It's up to you | C'est toi qui vois | C'est en haut à toi | You say this to [leave=laisser] the [choice=choix] to another [person=personne] | Tea or coffee? It's up to you. | Thé ou café ? C'est toi qui vois.
Take your time | Prends ton temps | null | You say this to [stop=empêcher] [someone=quelqu'un] from [going=aller] too [fast=vite] | Take your time, we are early. | Prends ton temps, on est en avance.
Hold on a minute | Attends une minute | Tiens sur une minute | You say this to [ask=demander] for a [short=court] [wait=attente] | Hold on a minute, I am coming. | Attends une minute, j'arrive.
See you later | À plus tard | null | You say this when you [leave=pars] and will [meet=revoir] the [person=personne] again | I have to go. See you later. | Je dois y aller. À plus tard.
Come on | Allez | Viens sur | You say this to [push=pousser] [someone=quelqu'un] to [move=bouger] or to [try=essayer] | Come on, we are late. | Allez, on est en retard.
Be careful | Fais attention | null | You say this to [warn=avertir] [someone=quelqu'un] of a [danger=danger] | Be careful, the floor is wet. | Fais attention, le sol est mouillé.
Watch out | Attention | Regarde dehors | You [shout=cries] this when a [danger=danger] is [very=très] [near=proche] | Watch out, a car! | Attention, une voiture !
That's a good idea | C'est une bonne idée | null | You say this to [accept=accepter] what [someone=quelqu'un] just [offered=a proposé] | Let's eat outside. That's a good idea. | Mangeons dehors. C'est une bonne idée.
I can't believe it | Je n'y crois pas | null | You say this when a [thing=chose] is too [strange=étrange] to be [true=vraie] | She won! I can't believe it. | Elle a gagné ! Je n'y crois pas.
It's not my fault | Ce n'est pas ma faute | null | You say this to [refuse=refuser] the [problem=problème] as [yours=le tien] | It's not my fault, the train was late. | Ce n'est pas ma faute, le train était en retard.
What's going on? | Qu'est-ce qui se passe ? | Quoi est allant sur | You ask this when you [see=vois] a [strange=étrange] [situation=situation] | There is noise outside. What's going on? | Il y a du bruit dehors. Qu'est-ce qui se passe ?
It makes sense | Ça se tient | Ça fait sens | You say this when an [idea=idée] is [clear=claire] and [right=juste] | Now it makes sense to me. | Maintenant ça se tient pour moi.
more or less | plus ou moins | null | You add this when a [number=nombre] is [near=proche] but not [exact=exact] | It costs ten euros, more or less. | Ça coûte dix euros, plus ou moins.
at least | au moins | null | You put this before the [smallest=plus petite] [quantity=quantité] that is [certain=certaine] | Wait at least ten minutes. | Attends au moins dix minutes.
as well | aussi | aussi bien | You put this at the [end=fin] to [add=ajouter] one [more=de plus] [thing=chose] | She came, and her brother as well. | Elle est venue, et son frère aussi.
so far | jusqu'ici | si loin | You add this to say what is [true=vrai] up to [now=maintenant] | So far the work is going well. | Jusqu'ici le travail avance bien.
right now | tout de suite | droit maintenant | You add this when a [thing=chose] must be [done=fait] at this [moment=moment] | I need it right now. | J'en ai besoin tout de suite.
